Locality,DecimalLatitude,DecimalLongitude,place_names,last_place_name,last_place_name_feature_type,source_latitude,source_longitude
"north island, eastern northland ecological region, mokohinau islands nature reserve , stack ""h""",-35.91309,175.093785,"[{'place_name': 'north island', 'feature_type': 'Island'}, {'place_name': 'northland', 'feature_type': 'Suburb'}]",mokohinau islands nature reserve,Nature Reserve,-35.92644345,175.13593308802365
"otago, murdering beach",-45.762862,170.67353,"[{'place_name': 'murdering beach', 'feature_type': 'Beach'}]",murdering beach,Beach,-45.7610921,170.6694548
"orari gorge, station creek, geraldine co. south canterbury.",-43.981441,171.180994,"[{'place_name': 'orari', 'feature_type': 'Locality'}, {'place_name': 'station creek', 'feature_type': 'Stream'}]",geraldine,Locality,-44.0921039,171.2425898
woodhill,-36.745362,174.431215,"[{'place_name': 'woodhill', 'feature_type': 'Suburb'}]",woodhill,Suburb,-35.7270423,174.3072996
stewart island: mt rakehua.,-46.948325,167.879251,"[{'place_name': 'stewart island', 'feature_type': 'Island'}]",stewart island,Island,-46.986719699999995,167.88213801660544
wakanui beach,-44.027582,171.858956,"[{'place_name': 'wakanui beach', 'feature_type': 'Beach'}]",wakanui beach,Beach,-44.0136054,171.8605892
"kariotahi [karioitahi], west coast, auckland",-37.321703,174.576289,"[{'place_name': 'kariotahi', 'feature_type': 'Locality'}, {'place_name': 'karioitahi', 'feature_type': 'Locality'}]",auckland,Local Authority,-36.852095,174.7631803
"inangahua river, 2.5 km s inangahua",-41.866667,171.916667,"[{'place_name': 'inangahua river', 'feature_type': 'Stream'}]",inangahua,Locality,-42.1262681,171.8842481
"okains bay, banks peninsula.",-43.718445,173.037067,"[{'place_name': 'okains bay', 'feature_type': 'Bay'}]",banks peninsula,Peninsula,-43.7233892,172.910213
"mount cook national park, birch hill.",-43.802,170.113,"[{'place_name': 'mount cook national park', 'feature_type': 'National Park'}]",birch hill,Locality,-44.3824304,169.5573246
waimakariri river track,-43.021225,171.592727,"[{'place_name': 'waimakariri river', 'feature_type': 'Stream'}]",waimakariri river,Stream,-43.3594111,172.069178
